event_name,event_source,aws_region,identity_type,user_agent_category,is_new_ip_for_identity,is_new_region_for_identity,event_hour,is_off_hours,call_frequency_10m,target_user_is_different,is_privilege_action,error_status,mfa_authenticated,data_source,attack_type,scenario_id,event_time,identity_session_id,original_event_id,source_ip,user_name,identity_arn,is_threat,error_type
AssumeRole,sts.amazonaws.com,us-east-1,IAMUser,Console,0,0,0,1,0,0,1,0,0,synthetic,none,syn-std-bg-9084,2026-04-23T00:37:21Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-005300,192.168.1.50,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,0,False_Positive
AttachUserPolicy,iam.amazonaws.com,us-east-1,IAMUser,CLI,0,0,3,1,3,0,1,0,0,synthetic,none,syn-std-bg-6103,2026-04-19T03:45:30Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-002767,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
ListBuckets,s3.amazonaws.com,us-west-2,IAMUser,CLI,0,0,14,0,1,0,0,1,0,synthetic,none,syn-seq-benign-0015,2026-04-19T14:17:51Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-013785,10.50.2.10,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
ListUsers,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,18,0,2,0,0,1,0,synthetic,none,syn-std-bg-4998,2026-04-08T18:30:56Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-004923,192.168.1.50,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,0,False_Positive
CreateAccessKey,iam.amazonaws.com,us-east-1,IAMUser,CLI,0,0,15,0,0,1,1,0,0,synthetic,none,syn-std-bg-3725,2026-04-14T15:49:45Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-006385,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
DescribeSecurityGroups,ec2.amazonaws.com,us-west-2,IAMUser,CLI,0,0,18,0,1,0,0,1,0,synthetic,none,syn-std-bg-8199,2026-04-22T18:32:49Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-001665,10.50.2.10,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
PutUserPolicy,iam.amazonaws.com,us-east-1,AssumedRole,CLI,0,0,17,0,0,1,1,1,0,synthetic,none,syn-std-bg-1609,2026-04-10T17:53:18Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-013001,10.100.4.12,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
PutRolePolicy,iam.amazonaws.com,us-east-2,AssumedRole,SDK,0,0,17,0,2,1,1,1,0,synthetic,none,syn-std-bg-5718,2026-04-30T17:08:22Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-010812,10.100.4.12,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
AttachUserPolicy,iam.amazonaws.com,sa-east-1,IAMUser,CLI,0,0,15,0,1,0,1,0,0,synthetic,none,syn-std-bg-2169,2026-04-13T15:09:09Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-005201,10.50.2.10,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
AttachUserPolicy,iam.amazonaws.com,sa-east-1,AssumedRole,CLI,0,0,14,0,0,1,1,1,0,synthetic,none,syn-std-bg-3413,2026-04-18T14:24:09Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-001520,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
PutUserPolicy,iam.amazonaws.com,us-west-2,IAMUser,CLI,0,0,12,0,1,1,1,0,0,synthetic,none,syn-std-bg-2705,2026-04-28T12:51:07Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-005597,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
PutRolePolicy,iam.amazonaws.com,us-east-1,IAMUser,CLI,0,0,0,1,0,1,1,1,1,synthetic,none,syn-std-bg-9267,2026-04-20T00:23:52Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-002977,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
UpdateAccessKey,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,15,0,2,0,1,1,0,synthetic,none,syn-std-bg-2553,2026-04-10T15:57:57Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-009972,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,0,False_Positive
AssumeRole,sts.amazonaws.com,us-east-2,AssumedRole,CLI,0,0,10,0,3,1,1,1,0,synthetic,none,syn-std-bg-7706,2026-04-08T10:10:43Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-012518,192.168.10.40,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
PutUserPolicy,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,16,0,0,0,1,1,0,synthetic,none,syn-std-bg-2398,2026-04-23T16:38:05Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-000908,192.168.1.51,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,0,False_Positive
CreateAccessKey,iam.amazonaws.com,us-west-2,IAMUser,CLI,0,0,18,0,1,0,1,1,0,synthetic,none,syn-std-bg-7344,2026-05-01T18:34:12Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-009911,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
CreateAccessKey,iam.amazonaws.com,us-east-2,AssumedRole,CLI,0,0,4,1,0,0,1,1,0,synthetic,none,syn-std-bg-3821,2026-04-07T04:38:12Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-011112,192.168.10.40,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
PutRolePolicy,iam.amazonaws.com,us-east-1,IAMUser,CLI,0,0,13,0,1,1,1,0,0,synthetic,none,syn-std-bg-1614,2026-04-12T13:26:10Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-012630,10.50.2.10,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
GetCallerIdentity,sts.amazonaws.com,us-east-1,IAMUser,Console,0,0,10,0,1,0,0,1,0,synthetic,none,syn-std-bg-3693,2026-04-15T10:28:25Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-000928,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,0,False_Positive
PutRolePolicy,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,0,1,1,0,1,1,0,synthetic,none,syn-std-bg-6353,2026-04-28T00:04:16Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-012469,10.200.1.6,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0,False_Positive
PassRole,iam.amazonaws.com,ap-southeast-1,AssumedRole,CLI,0,0,15,0,0,0,1,1,0,synthetic,none,syn-std-bg-3991,2026-04-12T15:27:35Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-006897,192.168.10.40,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
GetCallerIdentity,sts.amazonaws.com,us-east-1,IAMUser,Console,0,0,11,0,4,0,0,0,0,synthetic,none,syn-std-bg-8903,2026-04-18T11:44:12Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-011615,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,0,False_Positive
PutRolePolicy,iam.amazonaws.com,eu-west-1,IAMUser,Console,0,0,10,0,0,0,1,0,0,synthetic,none,syn-std-bg-2253,2026-04-25T10:32:21Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-013508,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,0,False_Positive
PutRolePolicy,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,4,1,0,0,1,1,0,synthetic,none,syn-std-bg-4016,2026-04-10T04:29:47Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-001451,10.10.15.23,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,0,False_Positive
CreateAccessKey,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,15,0,1,0,1,1,0,synthetic,none,syn-std-bg-7974,2026-04-10T15:51:37Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-009408,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,0,False_Positive
AttachRolePolicy,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,0,1,0,0,1,0,0,synthetic,none,syn-std-bg-8539,2026-04-24T00:33:03Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-011956,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,0,False_Positive
GetObject,s3.amazonaws.com,eu-west-1,AssumedRole,CLI,0,0,5,1,0,0,0,0,0,synthetic,none,syn-std-bg-3833,2026-04-29T05:51:31Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-013875,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
GetObject,s3.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,3,1,0,0,0,1,0,synthetic,none,syn-std-bg-1511,2026-04-18T03:00:58Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-000881,10.200.1.6,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0,False_Positive
ListRoles,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,15,0,3,0,0,1,0,synthetic,none,syn-std-bg-9960,2026-04-19T15:15:21Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-003054,192.168.1.51,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,0,False_Positive
PassRole,iam.amazonaws.com,us-west-2,IAMUser,CLI,0,0,15,0,1,1,1,0,0,synthetic,none,syn-std-bg-3184,2026-04-09T15:21:47Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-007381,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
PutUserPolicy,iam.amazonaws.com,us-west-2,IAMUser,SDK,0,0,10,0,1,0,1,1,0,synthetic,none,syn-std-bg-9393,2026-04-25T10:03:34Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-011017,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
GetObject,s3.amazonaws.com,ap-southeast-1,AssumedRole,SDK,0,0,10,0,0,0,0,1,0,synthetic,none,syn-std-bg-4459,2026-04-11T10:44:30Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-005764,10.10.15.23,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,0,False_Positive
AttachUserPolicy,iam.amazonaws.com,us-east-2,AssumedRole,CLI,0,0,4,1,0,0,1,1,0,synthetic,none,syn-std-bg-3588,2026-04-05T04:21:37Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-006039,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
AttachRolePolicy,iam.amazonaws.com,us-east-1,IAMUser,CLI,0,0,21,1,3,0,1,1,0,synthetic,none,syn-std-bg-9380,2026-04-01T21:46:18Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-000572,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
ListBuckets,s3.amazonaws.com,ap-southeast-1,IAMUser,Console,0,0,14,0,0,0,0,0,0,synthetic,none,syn-std-bg-1114,2026-04-01T14:37:33Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-003263,192.168.1.51,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,0,False_Positive
PassRole,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,10,0,0,0,1,1,0,synthetic,none,syn-std-bg-2523,2026-04-03T10:37:15Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-005287,192.168.1.50,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,0,False_Positive
PutUserPolicy,iam.amazonaws.com,eu-west-1,IAMUser,CLI,0,0,12,0,3,1,1,0,0,synthetic,none,syn-std-bg-8723,2026-04-19T12:24:40Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-010781,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
ListUsers,iam.amazonaws.com,sa-east-1,IAMUser,CLI,0,0,11,0,0,0,0,0,0,synthetic,none,syn-std-bg-7295,2026-04-02T11:10:17Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-002826,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
ListRoles,iam.amazonaws.com,us-west-2,IAMUser,SDK,0,0,14,0,0,0,0,0,0,synthetic,none,syn-seq-benign-0015,2026-04-19T14:13:29Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-005870,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
CreateAccessKey,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,15,0,1,0,1,1,0,synthetic,none,syn-std-bg-8631,2026-04-11T15:43:20Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-013559,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,0,False_Positive
PutUserPolicy,iam.amazonaws.com,us-east-1,AssumedRole,CLI,0,0,9,0,0,1,1,1,0,synthetic,none,syn-std-bg-8639,2026-04-23T09:01:13Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-011378,192.168.10.40,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
PutRolePolicy,iam.amazonaws.com,us-east-1,IAMUser,SDK,0,0,10,0,1,0,1,1,0,synthetic,none,syn-std-bg-3975,2026-04-10T10:25:48Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-004857,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,0,False_Positive
