event_name,event_source,aws_region,identity_type,user_agent_category,is_new_ip_for_identity,is_new_region_for_identity,event_hour,is_off_hours,call_frequency_10m,target_user_is_different,is_privilege_action,error_status,mfa_authenticated,data_source,attack_type,scenario_id,event_time,identity_session_id,original_event_id,source_ip,user_name,identity_arn,is_threat
DescribeInstances,ec2.amazonaws.com,ap-southeast-1,AssumedRole,SDK,1,1,0,1,0,0,0,0,0,synthetic,none,syn-std-bg-3886,2026-04-01T00:59:58Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-005138,172.16.5.248,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0
AttachUserPolicy,iam.amazonaws.com,us-east-1,IAMUser,Console,1,0,1,1,0,0,1,0,0,synthetic,privilege_escalation_user_policy,syn-std-th-6363,2026-04-01T01:10:39Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-013353,104.244.76.13,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1
PutRolePolicy,iam.amazonaws.com,us-east-2,AssumedRole,CLI,0,1,1,1,0,0,1,0,0,synthetic,none,syn-std-bg-8761,2026-04-01T01:11:03Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-012957,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0
GetObject,s3.amazonaws.com,us-west-2,IAMUser,Console,1,1,1,1,0,0,0,0,1,synthetic,none,syn-std-bg-5245,2026-04-01T01:12:24Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-006968,172.16.8.52,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,0
PassRole,iam.amazonaws.com,ap-southeast-1,IAMUser,Console,1,0,1,1,1,1,1,1,0,synthetic,pass_role_privilege_escalation,syn-std-th-7332,2026-04-01T01:19:17Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-008293,192.168.1.50,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1
PutRolePolicy,iam.amazonaws.com,us-east-1,AssumedRole,CLI,1,0,1,1,0,0,1,1,0,synthetic,role_inline_policy_backdoor,syn-std-th-8145,2026-04-01T01:22:23Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-007298,185.220.101.5,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1
PutUserPolicy,iam.amazonaws.com,us-west-2,IAMUser,Script_Tool,1,1,1,1,0,0,1,0,0,synthetic,inline_policy_injection,syn-std-th-8699,2026-04-01T01:23:10Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-011250,203.0.113.88,carol_secops,arn:aws:iam::123456789012:user/carol_secops,1
PutRolePolicy,iam.amazonaws.com,us-east-1,AssumedRole,SDK,1,0,1,1,0,0,1,0,0,synthetic,none,syn-std-bg-8883,2026-04-01T01:26:13Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-008205,172.16.39.175,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,0
ListRoles,iam.amazonaws.com,us-east-2,IAMUser,Console,0,1,1,1,1,0,0,0,0,synthetic,cloud_intrusion_threat,syn-std-th-3992,2026-04-01T01:26:16Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-012090,192.168.1.50,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1
AttachUserPolicy,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,1,1,0,0,1,0,1,synthetic,privilege_escalation_user_policy,syn-std-th-4520,2026-04-01T01:29:44Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-003637,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1
ListUsers,iam.amazonaws.com,us-east-2,AssumedRole,CLI,0,0,1,1,0,0,0,0,0,synthetic,none,syn-std-bg-4168,2026-04-01T01:36:57Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-001839,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0
UpdateAccessKey,iam.amazonaws.com,us-east-2,AssumedRole,Script_Tool,0,0,1,1,1,1,1,0,0,synthetic,credential_activation_abuse,syn-std-th-8353,2026-04-01T01:38:21Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-010878,185.220.101.5,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1
PassRole,iam.amazonaws.com,us-west-2,AssumedRole,SDK,1,1,1,1,0,1,1,1,0,synthetic,pass_role_privilege_escalation,syn-std-th-6508,2026-04-01T01:50:48Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-001172,198.51.100.24,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,1
ListBuckets,s3.amazonaws.com,us-east-1,AssumedRole,Script_Tool,1,0,1,1,1,0,0,1,0,synthetic,cloud_intrusion_threat,syn-std-th-2789,2026-04-01T01:54:11Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-012036,203.0.113.88,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,1
PassRole,iam.amazonaws.com,us-east-1,AssumedRole,SDK,1,0,1,1,0,0,1,1,0,synthetic,none,syn-std-bg-5137,2026-04-01T01:55:58Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-007847,10.200.1.6,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0
AttachUserPolicy,iam.amazonaws.com,us-west-2,IAMUser,Script_Tool,0,0,1,1,0,1,1,0,0,synthetic,privilege_escalation_user_policy,syn-std-th-8187,2026-04-01T01:57:30Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-012547,192.168.1.50,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1
PutRolePolicy,iam.amazonaws.com,us-east-1,AssumedRole,SDK,1,0,1,1,1,0,1,0,0,synthetic,none,syn-std-bg-4155,2026-04-01T01:59:08Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-007845,172.16.12.35,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0
GetCallerIdentity,sts.amazonaws.com,us-west-2,IAMUser,Other,0,0,2,1,0,0,0,0,1,synthetic,discovery_reconnaissance,syn-seq-threat-0001,2026-04-01T02:08:43Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-010236,198.51.100.24,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1
ListBuckets,s3.amazonaws.com,us-west-2,IAMUser,CLI,1,0,2,1,0,0,0,0,1,synthetic,none,syn-std-bg-1572,2026-04-01T02:14:22Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-010468,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0
GetCallerIdentity,sts.amazonaws.com,ap-southeast-1,IAMUser,SDK,1,0,2,1,1,0,0,0,0,synthetic,discovery_reconnaissance,syn-seq-threat-0244,2026-04-01T02:16:08Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-007227,104.244.76.13,carol_secops,arn:aws:iam::123456789012:user/carol_secops,1
GetCallerIdentity,sts.amazonaws.com,eu-west-1,IAMUser,Script_Tool,1,1,2,1,0,0,0,0,0,synthetic,discovery_reconnaissance,syn-seq-threat-0275,2026-04-01T02:16:31Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-008836,203.0.113.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1
ListUsers,iam.amazonaws.com,us-west-2,IAMUser,SDK,0,0,2,1,1,0,0,0,0,synthetic,permission_probing,syn-seq-threat-0001,2026-04-01T02:17:27Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-004210,45.154.255.99,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1
ListRoles,iam.amazonaws.com,eu-west-1,IAMUser,CLI,1,1,2,1,2,0,0,0,0,synthetic,permission_probing,syn-seq-threat-0244,2026-04-01T02:19:22Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-013931,198.51.100.24,carol_secops,arn:aws:iam::123456789012:user/carol_secops,1
AttachRolePolicy,iam.amazonaws.com,ap-southeast-1,AssumedRole,SDK,1,0,2,1,0,1,1,0,0,synthetic,privilege_escalation_role_policy,syn-std-th-2787,2026-04-01T02:19:49Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-009693,185.220.101.5,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,1
AssumeRole,sts.amazonaws.com,ap-southeast-1,IAMUser,Script_Tool,0,0,2,1,1,1,1,0,0,synthetic,unauthorized_role_assumption,syn-seq-threat-0001,2026-04-01T02:20:14Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-003280,194.26.29.112,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1
ListUsers,iam.amazonaws.com,us-west-2,IAMUser,Other,0,1,2,1,1,0,0,1,0,synthetic,permission_probing,syn-seq-threat-0275,2026-04-01T02:20:17Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-012772,45.154.255.99,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1
GetCallerIdentity,sts.amazonaws.com,us-east-1,AssumedRole,CLI,1,0,2,1,0,0,0,0,0,synthetic,discovery_reconnaissance,syn-seq-threat-0041,2026-04-01T02:20:26Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-005244,104.244.76.13,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1
PutUserPolicy,iam.amazonaws.com,us-east-2,IAMUser,Other,1,1,2,1,2,0,1,0,0,synthetic,inline_policy_injection,syn-seq-threat-0275,2026-04-01T02:22:30Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-007475,198.51.100.24,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1
PutUserPolicy,iam.amazonaws.com,eu-west-1,IAMUser,Script_Tool,0,0,2,1,3,1,1,0,0,synthetic,inline_policy_injection,syn-seq-threat-0244,2026-04-01T02:24:10Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-005629,203.0.113.88,carol_secops,arn:aws:iam::123456789012:user/carol_secops,1
PutUserPolicy,iam.amazonaws.com,us-east-1,AssumedRole,SDK,1,0,2,1,1,0,1,0,0,synthetic,none,syn-std-bg-8971,2026-04-01T02:26:47Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-012781,10.10.15.22,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,0
ListUsers,iam.amazonaws.com,us-east-2,AssumedRole,CLI,1,0,2,1,1,0,0,1,0,synthetic,permission_probing,syn-seq-threat-0041,2026-04-01T02:29:07Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-002620,203.0.113.88,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1
CreateAccessKey,iam.amazonaws.com,sa-east-1,IAMUser,Console,0,0,2,1,1,0,1,1,0,synthetic,rogue_credential_creation,syn-std-th-4145,2026-04-01T02:30:19Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-011054,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1
PassRole,iam.amazonaws.com,ap-southeast-1,AssumedRole,Script_Tool,1,1,2,1,1,0,1,0,0,synthetic,pass_role_privilege_escalation,syn-std-th-8857,2026-04-01T02:32:49Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-009829,198.51.100.24,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1
PassRole,iam.amazonaws.com,us-east-1,AssumedRole,Other,0,0,2,1,2,0,1,0,0,synthetic,pass_role_privilege_escalation,syn-seq-threat-0041,2026-04-01T02:34:45Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-000516,104.244.76.13,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1
ListRoles,iam.amazonaws.com,us-west-2,AssumedRole,Script_Tool,1,1,2,1,0,0,0,0,0,synthetic,cloud_intrusion_threat,syn-std-th-9147,2026-04-01T02:35:42Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-011841,198.51.100.24,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,1
PutRolePolicy,iam.amazonaws.com,us-east-1,AssumedRole,SDK,1,0,2,1,0,0,1,1,1,synthetic,role_inline_policy_backdoor,syn-std-th-5706,2026-04-01T02:40:04Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-013247,194.26.29.112,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,1
PutUserPolicy,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,2,1,0,1,1,0,0,synthetic,inline_policy_injection,syn-std-th-4496,2026-04-01T02:40:52Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-012267,194.26.29.112,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1
PassRole,iam.amazonaws.com,us-west-2,AssumedRole,CLI,1,1,3,1,0,1,1,0,0,synthetic,pass_role_privilege_escalation,syn-std-th-5192,2026-04-01T03:01:36Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-011200,45.154.255.99,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1
UpdateAccessKey,iam.amazonaws.com,eu-west-1,IAMUser,Script_Tool,1,1,3,1,0,1,1,0,0,synthetic,credential_activation_abuse,syn-std-th-4447,2026-04-01T03:05:47Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-012303,203.0.113.88,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1
DescribeInstances,ec2.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,3,1,0,0,0,0,0,synthetic,none,syn-seq-benign-0131,2026-04-01T03:07:41Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-008425,10.200.1.6,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0
GetCallerIdentity,sts.amazonaws.com,eu-west-1,IAMUser,Console,0,0,3,1,1,0,0,0,0,synthetic,discovery_reconnaissance,syn-seq-threat-0234,2026-04-01T03:07:55Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-012658,198.51.100.24,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1
ListUsers,iam.amazonaws.com,us-west-2,IAMUser,SDK,0,0,3,1,2,0,0,0,0,synthetic,permission_probing,syn-seq-threat-0234,2026-04-01T03:12:38Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-006399,198.51.100.24,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1
ListUsers,iam.amazonaws.com,sa-east-1,AssumedRole,SDK,0,1,3,1,1,0,0,0,0,synthetic,none,syn-seq-benign-0131,2026-04-01T03:13:16Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-004417,10.200.1.5,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0
AssumeRole,sts.amazonaws.com,us-east-1,IAMUser,Other,0,0,3,1,0,0,1,0,0,synthetic,unauthorized_role_assumption,syn-std-th-4767,2026-04-01T03:13:41Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-006008,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1
PutRolePolicy,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,3,1,2,0,1,0,0,synthetic,none,syn-seq-benign-0131,2026-04-01T03:14:59Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-012787,10.200.1.6,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0
UpdateAccessKey,iam.amazonaws.com,us-west-2,AssumedRole,SDK,1,0,3,1,3,0,1,0,0,synthetic,none,syn-std-bg-9425,2026-04-01T03:17:04Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-003879,172.16.39.137,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0
PutUserPolicy,iam.amazonaws.com,sa-east-1,IAMUser,Console,0,1,3,1,1,0,1,0,0,synthetic,inline_policy_injection,syn-seq-threat-0234,2026-04-01T03:19:26Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-001515,198.51.100.24,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1
PutUserPolicy,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,3,1,0,0,1,0,0,synthetic,none,syn-std-bg-9269,2026-04-01T03:27:59Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-006575,10.10.15.22,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,0
DescribeInstances,ec2.amazonaws.com,us-east-1,AssumedRole,SDK,1,0,3,1,0,0,0,0,0,synthetic,none,syn-std-bg-1359,2026-04-01T03:43:41Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-010870,172.16.31.16,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0
ListBuckets,s3.amazonaws.com,us-east-1,IAMUser,Console,1,0,3,1,0,0,0,0,1,synthetic,none,syn-std-bg-5241,2026-04-01T03:44:27Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-012794,192.168.1.51,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,0
UpdateAccessKey,iam.amazonaws.com,us-east-2,AssumedRole,SDK,1,1,3,1,0,1,1,1,0,synthetic,credential_activation_abuse,syn-std-th-4811,2026-04-01T03:51:54Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-001688,45.154.255.99,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,1
UpdateAccessKey,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,3,1,1,0,1,0,0,synthetic,none,syn-std-bg-6816,2026-04-01T03:52:42Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-002713,10.10.15.22,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,0
PutUserPolicy,iam.amazonaws.com,us-east-1,AssumedRole,CLI,0,0,3,1,0,1,1,1,0,synthetic,inline_policy_injection,syn-std-th-6416,2026-04-01T03:57:48Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-013510,203.0.113.88,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1
AssumeRole,sts.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,3,1,2,0,1,0,0,synthetic,none,syn-std-bg-5250,2026-04-01T03:59:23Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-011347,10.10.15.23,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,0
CreateAccessKey,iam.amazonaws.com,us-east-1,AssumedRole,Script_Tool,0,0,4,1,1,0,1,0,0,synthetic,rogue_credential_creation,syn-std-th-6294,2026-04-01T04:05:42Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-003993,194.26.29.112,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,1
GetCallerIdentity,sts.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,4,1,0,0,0,0,0,synthetic,none,syn-std-bg-9313,2026-04-01T04:09:55Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-012627,10.200.1.5,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0
CreateAccessKey,iam.amazonaws.com,us-east-1,IAMUser,CLI,0,0,4,1,0,0,1,0,0,synthetic,rogue_credential_creation,syn-std-th-6866,2026-04-01T04:11:36Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-006603,10.50.2.10,carol_secops,arn:aws:iam::123456789012:user/carol_secops,1
GetObject,s3.amazonaws.com,us-east-1,AssumedRole,SDK,1,0,4,1,1,0,0,1,0,synthetic,cloud_intrusion_threat,syn-std-th-3505,2026-04-01T04:12:38Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-012072,185.220.101.5,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,1
PutRolePolicy,iam.amazonaws.com,sa-east-1,AssumedRole,CLI,1,1,4,1,0,1,1,1,0,synthetic,role_inline_policy_backdoor,syn-std-th-7839,2026-04-01T04:13:55Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-010603,10.100.4.12,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1
PassRole,iam.amazonaws.com,sa-east-1,IAMUser,Console,0,0,4,1,0,1,1,1,0,synthetic,pass_role_privilege_escalation,syn-std-th-8585,2026-04-01T04:16:50Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-013847,45.154.255.99,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1
DescribeInstances,ec2.amazonaws.com,us-east-1,AssumedRole,SDK,1,0,4,1,1,0,0,0,0,synthetic,none,syn-seq-benign-0099,2026-04-01T04:21:18Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-004550,172.16.15.214,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0
AttachRolePolicy,iam.amazonaws.com,us-east-2,IAMUser,Script_Tool,0,1,4,1,0,1,1,0,0,synthetic,privilege_escalation_role_policy,syn-std-th-1608,2026-04-01T04:24:31Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-007848,198.51.100.24,carol_secops,arn:aws:iam::123456789012:user/carol_secops,1
DescribeInstances,ec2.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,4,1,1,0,0,0,0,synthetic,none,syn-seq-benign-0025,2026-04-01T04:24:43Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-012536,10.200.1.5,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0
DescribeSecurityGroups,ec2.amazonaws.com,us-east-1,AssumedRole,SDK,1,0,4,1,2,0,0,0,0,synthetic,none,syn-seq-benign-0099,2026-04-01T04:25:59Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-005747,172.16.23.81,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0
GetObject,s3.amazonaws.com,us-east-1,IAMUser,Other,1,0,4,1,0,0,0,1,0,synthetic,cloud_intrusion_threat,syn-std-th-9382,2026-04-01T04:27:03Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-004463,185.220.101.5,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1
ListBuckets,s3.amazonaws.com,us-east-1,AssumedRole,SDK,1,0,4,1,3,0,0,0,0,synthetic,none,syn-seq-benign-0025,2026-04-01T04:29:55Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-013073,172.16.24.103,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0
